"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"VUT",2007,111.89819487170951331,5.43620629424750399
"XAD",2007,3.36770752929253583,0.0
"XCA",2007,17.065519438804252364,1.90383551643446157
"XKO",2007,811.02382124549902212,380.63613565245750543
"XNC",2007,12.67776584648437856,1.26049054878472227
"ZAF",2007,47105.15703608381070951,2915.69786186545735767
"ZMB",2007,53654.07997100239017752,30.08453895044433171
"ZWE",2007,9299.78555742134427428,73.54468526952692200
"AFG",2008,107.40624824200087656,85.46602619497829885
"AGO",2008,103582.03635346268958308,1000.63655226319272158
"AIA",2008,10.390651274953343,0.07316097600802951
"ALA",2008,1291.947955334657258966,28.163365087339412167
"ALB",2008,5471.318403880235981999,3225.340352577135562115
"AND",2008,5.2478634872026911,0.057043466796875
"ARG",2008,592753.227198338394923620,29770.298544056978923983
"ARM",2008,113.03153313903206650,5.97244177657335114
"ATG",2008,45.69564378295573198,1.10286967027777789
"AUS",2008,205724.854030255283136220,105540.596188252110448091
"AUT",2008,26895.743190156305798054,406.513021947677775812
"AZE",2008,472.31692414898473880,39.02922977017361025
"BDI",2008,1999.44533270992320912,0.1535469746693251
"BEL",2008,7213.54488571701155753,63.94062861235677752
"BEN",2008,481.55173986338453667,0.45869360451605902
"BES",2008,0.59092155711154515,0.15045208171115451
"BFA",2008,4.75749902189019102,0.0
"BGD",2008,4480.08987262076603511,74.17304434061632394
"BGR",2008,6448.13476697712966595,457.554923406649294496
"BHS",2008,1949.23576147202603689,392.02438878293290144
"BIH",2008,1551.788318214345082154,235.89755542926012050
"BLM",2008,0.1466102862543403,0.0
"BLR",2008,35896.481903190708205639,518.291851918608856041
"BLZ",2008,8216.09472987415941098,588.30351934982527564
"BMU",2008,0.19589676768120662,0.0
"BOL",2008,369850.56059080696814722,31351.85674332861313148
"BRA",2008,2444308.03831688640569266,167146.38398523816098539
"BRB",2008,13.71672659023274968,0.0
"BRN",2008,1299.95055037189171804,61.11484843443927780
"BTN",2008,775.33369512191649509,124.94558581281256621
"BWA",2008,26.06325585573893343,1.13918285079535601
"CAF",2008,31859.75234070651573722,71.12855024631646936
"CAN",2008,1949007.837210361615575404,1064678.704542737025003370
"CHE",2008,2419.268640173492776231,29.226499907677949076
"CHL",2008,123068.313397622459332831,15431.146477063508709617
"CHN",2008,738031.291889075989775958,71865.221564094007654910
"CIV",2008,127554.83313428351955756,91.29056076417671519
"CMR",2008,35141.59927780941851891,70.31276184431423506
"COD",2008,404830.72935061661414045,1688.04481667576113018
"COG",2008,17374.33580803346184445,120.78316148856504408
"COL",2008,231849.49965961812121385,10650.22772011681753224
"COM",2008,34.95359877595322933,0.45178904900390630
"CPV",2008,0.14814536827636721,0.0
"CRI",2008,21875.04079815250039012,865.31204011478142434
"CUB",2008,17083.73576659446876525,1458.74479336415022902
"CUW",2008,5.4925180681391052,0.30107815214355473
"CYM",2008,32.34618677929361520,0.5076671132194011
"CYP",2008,94.79670437978520419,37.98918583414062264
"CZE",2008,16872.510010706112660750,161.069466446410600652
"DEU",2008,61696.171085783648003940,351.796453716733958746
"DMA",2008,93.37368369661083192,0.96502038287489156
"DNK",2008,6060.808106283102085102,30.149836441221786346
"DOM",2008,21612.20822484849972339,1729.08838257534316055
"DZA",2008,7972.336959549452487216,4893.671731424190119995
"ECU",2008,51890.07404954832115597,2100.91737094491246109
"EGY",2008,81.46682983915690251,36.00425042871203183
"ESP",2008,44287.974223990596865317,4646.278886712319921364
"EST",2008,18296.511605805061446294,400.13549301956744389
"ETH",2008,24008.62800586989203928,54.40020778499606205
"FIN",2008,200192.107048001150140040,3135.070390188149804281
"FJI",2008,2387.25711059958851747,40.64890624965929794
"FRA",2008,86955.399925394863387360,1354.842188570086936969
"GAB",2008,17367.16598726378837281,135.38449823688910684
"GBR",2008,12505.129785907481884113,956.924071101948995672
"GEO",2008,745.61796951321713730,204.71190271869190537
"GGY",2008,0.252044675195312526,0.100798964518229172
"GHA",2008,37848.66471319069305856,48.97470115401611579
"GIN",2008,21481.36187448503094367,12.30469655652479349
"GLP",2008,134.85936135622833986,0.36999772869737418
"GMB",2008,297.21283617773420266,0.52425585929741753
"GNB",2008,3248.36175395880069421,2.25891544378417963
"GNQ",2008,4821.67587377379024118,11.45713562951755117
"GRC",2008,21197.207681254948359854,14154.283383288725842554
"GRD",2008,64.18114656382977990,0.75223015962402355
"GTM",2008,77172.95991448098007457,4964.08666422852318581
"GUF",2008,5223.39538207912373511,263.83020852448562013
"GUY",2008,9460.22006147154220471,422.53061291727106762
"HKG",2008,26.51698051941840451,1.14042435294379353
"HND",2008,43299.04954530050548503,3013.11279310655953214
"HRV",2008,3890.747254563605464089,227.692968419045136845
"HTI",2008,2191.54892721285640411,103.48065390595267818
"HUN",2008,8911.602985321186577406,118.010189178721886501
"IDN",2008,1396251.28979239257074951,59071.53069107716238591
"IND",2008,85952.75573005502566252,2998.98875896091682890
"IRL",2008,6923.786207440666215706,322.368616847070346594
"IRN",2008,374.201338121288841036,83.66397901747178058
"IRQ",2008,17.80291335387803757,0.50728574404947915
"ISR",2008,65.05592308377389050,3.13171730105360261
"ITA",2008,15153.615128631892867564,2532.069867153069913123
"JAM",2008,2026.92094824551997493,35.57651546553928004
"JEY",2008,2.07603352147569454,0.0
"JPN",2008,40839.315101169364711452,710.763878784101639584
"KAZ",2008,4548.577746346207284182,2093.151553271626721239
"KEN",2008,19224.20869253072969651,143.46778544096007333
"KGZ",2008,106.68695432008248019,62.240067698556857356
"KHM",2008,83499.46632320401806992,567.30527519407449532
